date,treatment,rain,tmax,tmin,srad,tmean
11/11/1961,PGRO,0,26,16,18.87164577,21
11/12/1961,PGRO,0,25.6,16.4,23.06850185,21
11/13/1961,PGRO,52.6,27.5,15.3,8.734309361,21.4
11/14/1961,PGRO,3.4,22.8,15.8,14.89385278,19.3
11/15/1961,PGRO,0,25.6,8,19.83186963,16.8
11/16/1961,PGRO,0,26.8,9.7,24.40647757,18.25
11/17/1961,PGRO,0,26.3,11.1,21.72418828,18.7
11/18/1961,PGRO,0,27.5,11.6,21.50083764,19.55
11/19/1961,PGRO,0,29.9,15.7,20.53708251,22.8
11/20/1961,PGRO,7.2,27,17.4,17.22911975,22.2
11/21/1961,PGRO,22,26.6,17,20.33096036,21.8
11/22/1961,PGRO,12.6,25.1,16.8,8.873527634,20.95
11/23/1961,PGRO,0,26.6,18,8.886638968,22.3
11/24/1961,PGRO,0,31.4,19.4,8.899288775,25.4
11/25/1961,PGRO,0,27.9,18,12.00053884,22.95
11/26/1961,PGRO,23,31.2,19,14.23846086,25.1
11/27/1961,PGRO,0,29.8,17.1,13.26245637,23.45
11/28/1961,PGRO,0,26,15.6,16.3672884,20.8
11/29/1961,PGRO,0,30,17.6,21.32976365,23.8
11/30/1961,PGRO,0,31,14.4,22.95274797,22.7
12/01/1961,PGRO,2,29.6,18.3,15.16598081,23.95
12/02/1961,PGRO,13.4,26.1,18.1,14.55753744,22.1
12/03/1961,PGRO,21,28.2,13.5,11.84217645,20.85
12/04/1961,PGRO,0,23.9,14.2,20.15355358,19.05
12/05/1961,PGRO,0,23.6,10.6,21.65138858,17.1
12/06/1961,PGRO,0,23.4,14.1,21.41367438,18.75
12/07/1961,PGRO,0,24.8,13.7,17.45516612,19.25
12/08/1961,PGRO,0,27.2,12.7,17.09129,19.95
12/09/1961,PGRO,0,28.8,14.2,19.82810085,21.5
12/10/1961,PGRO,0,29.8,16,15.86525583,22.9
12/11/1961,PGRO,0,31,17.2,21.70432372,24.1
12/12/1961,PGRO,0,29.1,15.6,22.08358008,22.35
12/13/1961,PGRO,0,29,16.4,19.60719531,22.7
12/14/1961,PGRO,0,28.8,12.2,20.4818238,20.5
12/15/1961,PGRO,0,27.9,15.3,21.48037317,21.6
12/16/1961,PGRO,0,26,18,20.24319295,22
12/17/1961,PGRO,0,27.3,18.2,19.62622937,22.75
12/18/1961,PGRO,24.6,30.8,18.8,21.86578285,24.8
12/19/1961,PGRO,0,29.4,17.3,21.49633082,23.35
12/20/1961,PGRO,0,27.6,16.6,9.073850456,22.1
12/21/1961,PGRO,35.6,26.6,17,12.80275627,21.8
12/22/1961,PGRO,5,27.4,18.4,15.66199414,22.9
12/23/1961,PGRO,3.4,26.6,18.6,18.02412024,22.6
12/24/1961,PGRO,0,27.8,16.5,9.075260421,22.15
12/25/1961,PGRO,27,27.4,17.5,22.12646931,22.45
12/26/1961,PGRO,0,27.3,17,22.74769993,22.15
12/27/1961,PGRO,0,27.4,17.2,20.75779082,22.3
12/28/1961,PGRO,0,29.4,16,17.1509624,22.7
12/29/1961,PGRO,0,28.6,16.8,14.66230149,22.7
